电子信息与电气工程学院(计算机系),船舶海洋与建筑工程学院,机械与动力工程学院,电子信息与电气工程学院,(031)电子信息与电气工程学院(电气系),电子信息与电气工程学院(自动化系),电子信息与电气工程学院(电子系),电子信息与电气工程学院(仪器系),电子信息与电气工程学院(网络空间安全学院),电子信息与电气工程学院(软件学院),电子信息与电气工程学院(微纳电子学系),材料科学与工程学院,数学科学学院,物理与天文学院,生命科学技术学院,生物医学工程学院,人文学院,化学化工学院,安泰经济与管理学院,国际与公共事务学院,外国语学院,农业与生物学院,环境科学与工程学院,药学院,凯原法学院,新闻传播学,电子信息与电气工程学院(微电子学院),马克思主义学院,体育系,上海交大-巴黎高科卓越工程师学院,上海交大-南加州大学文化创意产业学院
0,1.09861,9.74156,0,5.34711,12.3806,8.59693,3.49651,15.1886,10.0469,8.83884,3.80666,7.30317,0,2.94444,8.28677,0,0,3.80666,1.09861,0,2.3979,0,0,0,1.09861,1.09861,0,0,2.94444,0
1.09861,0,19.0222,0,9.02594,15.873,9.77792,5.19296,7.53956,1.09861,6.52796,10.9718,12.5629,2.70805,2.19722,2.70805,0,8.4457,10.078,6.29157,0,6.24028,9.18471,9.13884,0,1.09861,6.44095,0,0,14.5149,0
9.74156,19.0222,0,5.02388,12.3682,27.1419,14.8351,16.0748,15.1941,7.1025,14.0235,35.1615,23.7914,11.4339,1.60944,2.70805,0,14.6971,14.8167,13.1256,0,1.09861,12.6923,9.88328,0,1.09861,7.42655,0,0,20.2364,0
0,0,5.02388,0,0,2.94444,0,0,8.28677,0,0,2.07944,2.07944,0,0,0,0,0,4.47734,2.07944,0,0,0,0,0,2.3979,0,0,2.94444,0,0
5.34711,9.02594,12.3682,0,0,14.0216,10.7277,7.03878,2.70805,5.10595,6.49224,11.2696,11.3285,0,2.94444,2.94444,0,1.94591,5.4161,7.32119,0,0,2.07944,5.63479,0,1.09861,4.04305,0,0,8.33807,0
12.3806,15.873,27.1419,2.94444,14.0216,0,10.4996,8.57168,21.0775,9.50039,5.12396,7.13887,11.3285,4.2485,0,1.60944,2.94444,5.63479,5.8861,4.09434,0,0,2.07944,3.55535,2.94444,1.09861,3.49651,0,0,14.1635,0
8.59693,9.77792,14.8351,0,10.7277,10.4996,0,14.7838,3.80666,5.10595,18.999,9.72913,12.1758,8.29155,0,2.70805,0,6.19441,8.90246,4.09434,0,1.09861,8.76155,5.29832,0,1.09861,4.04305,0,0,4.09434,0
3.49651,5.19296,16.0748,0,7.03878,8.57168,14.7838,0,2.19722,3.49651,14.2372,8.64822,5.98141,4.31749,9.28545,5.34711,0,6.63332,10.371,5.70378,0,12.0244,3.17805,11.4414,0,1.09861,2.70805,0,2.94444,5.70378,0
15.1886,7.53956,15.1941,8.28677,2.70805,21.0775,3.80666,2.19722,0,20.7721,5.14166,9.94223,6.00389,1.09861,0,4.04305,0,0,9.50039,3.49651,0,1.09861,1.09861,0,0,3.49651,1.09861,0,0,3.49651,0
10.0469,1.09861,7.1025,0,5.10595,9.50039,5.10595,3.49651,20.7721,0,6.44095,6.44572,10.6894,0,0,0,0,0,6.00389,4.04305,0,0,0,0,0,3.73767,1.09861,0,0,2.94444,0
8.83884,6.52796,14.0235,0,6.49224,5.12396,18.999,14.2372,5.14166,6.44095,0,9.98045,10.5765,12.7047,6.95177,9.08,0,2.07944,8.29155,4.09434,0,8.83884,1.09861,1.60944,0,1.09861,16.5652,0,0,7.90101,0
3.80666,10.9718,35.1615,2.07944,11.2696,7.13887,9.72913,8.64822,9.94223,6.44572,9.98045,0,18.403,15.4079,6.64639,9.08,0,8.61032,10.7407,8.01961,0,1.09861,11.1594,5.63479,0,2.94444,6.32794,2.63906,0,10.0982,0
7.30317,12.5629,23.7914,2.07944,11.3285,11.3285,12.1758,5.98141,6.00389,10.6894,10.5765,18.403,0,4.04305,5.14166,3.29584,0,4.89035,13.7669,9.40063,0,3.29584,1.09861,0,0,6.37673,1.09861,0,0,9.82379,0
0,2.70805,11.4339,0,0,4.2485,8.29155,4.31749,1.09861,0,12.7047,15.4079,4.04305,0,1.60944,5.34711,0,6.32794,1.09861,3.21888,0,1.09861,6.13556,1.60944,0,0,12.2168,0,0,5.65249,0
2.94444,2.19722,1.60944,0,2.94444,0,0,9.28545,0,0,6.95177,6.64639,5.14166,1.60944,0,12.8177,0,5.27811,6.79234,4.55388,0,21.2092,2.19722,22.9447,0,0,1.60944,2.94444,0,1.60944,0
8.28677,2.70805,2.70805,0,2.94444,1.60944,2.70805,5.34711,4.04305,0,9.08,9.08,3.29584,5.34711,12.8177,0,0,1.60944,5.69373,1.60944,0,5.69373,4.04305,7.19293,0,2.94444,0,2.63906,0,1.09861,0
0,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63906,11.7778,0,0,0,0,2.63906,0,0,0,0,0
0,8.4457,14.6971,0,1.94591,5.63479,6.19441,6.63332,0,0,2.07944,8.61032,4.89035,6.32794,5.27811,1.60944,0,0,4.02535,1.60944,0,2.63906,13.0053,3.55535,0,2.94444,2.07944,0,0,2.3979,0
3.80666,10.078,14.8167,4.47734,5.4161,5.8861,8.90246,10.371,9.50039,6.00389,8.29155,10.7407,13.7669,1.09861,6.79234,5.69373,0,4.02535,0,4.27667,0,8.13212,5.37528,9.59083,2.3979,13.3237,0,0,2.94444,2.70805,0
1.09861,6.29157,13.1256,2.07944,7.32119,4.09434,4.09434,5.70378,3.49651,4.04305,4.09434,8.01961,9.40063,3.21888,4.55388,1.60944,2.63906,1.60944,4.27667,0,2.94444,0,0,1.60944,0,3.73767,2.70805,0,0,5.39363,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7778,0,0,2.94444,0,0,0,0,0,0,0,2.94444,0,0,0
2.3979,6.24028,1.09861,0,0,0,1.09861,12.0244,1.09861,0,8.83884,1.09861,3.29584,1.09861,21.2092,5.69373,0,2.63906,8.13212,0,0,0,3.29584,0,2.94444,0,0,0,0,1.09861,0
0,9.18471,12.6923,0,2.07944,2.07944,8.76155,3.17805,1.09861,0,1.09861,11.1594,1.09861,6.13556,2.19722,4.04305,0,13.0053,5.37528,0,0,3.29584,0,2.07944,0,0,2.63906,0,0,6.44095,0
0,9.13884,9.88328,0,5.63479,3.55535,5.29832,11.4414,0,0,1.60944,5.63479,0,1.60944,22.9447,7.19293,0,3.55535,9.59083,1.60944,0,0,2.07944,0,2.3979,2.3979,2.94444,0,0,1.60944,0
0,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,0,0,2.3979,0,0,2.94444,0,2.3979,0,2.3979,0,0,0,0,0
1.09861,1.09861,1.09861,2.3979,1.09861,1.09861,1.09861,1.09861,3.49651,3.73767,1.09861,2.94444,6.37673,0,0,2.94444,2.63906,2.94444,13.3237,3.73767,0,0,0,2.3979,2.3979,0,1.09861,0,0,0,0
1.09861,6.44095,7.42655,0,4.04305,3.49651,4.04305,2.70805,1.09861,1.09861,16.5652,6.32794,1.09861,12.2168,1.60944,0,0,2.07944,0,2.70805,0,0,2.63906,2.94444,0,1.09861,0,0,0,4.00733,0
0,0,0,0,0,0,0,0,0,0,0,2.63906,0,0,2.94444,2.63906,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0
0,0,0,2.94444,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,2.94444,0,0,0,0,0,0,0,0,0,0,0,0
2.94444,14.5149,20.2364,0,8.33807,14.1635,4.09434,5.70378,3.49651,2.94444,7.90101,10.0982,9.82379,5.65249,1.60944,1.09861,0,2.3979,2.70805,5.39363,0,1.09861,6.44095,1.60944,0,0,4.00733,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
